Date,Clicks,Impressions,CTR,Position
2026-05-15,13,38,34.21%,5.4
2026-05-16,0,14,0%,6.7
2026-05-17,2,5,40%,4.6
2026-05-18,7,14,50%,3.1
2026-05-19,37,45,82.22%,1.9
2026-05-20,32,39,82.05%,1.9
2026-05-21,13,22,59.09%,1.8
2026-05-22,8,16,50%,3.5
2026-05-23,7,20,35%,4.5
2026-05-24,6,39,15.38%,5.7
2026-05-25,9,22,40.91%,4.6
2026-05-26,8,34,23.53%,6.6
2026-05-27,21,95,22.11%,6.6
2026-05-28,12,79,15.19%,6.6
2026-05-29,7,59,11.86%,6.5
2026-05-30,10,56,17.86%,5.1
2026-05-31,15,82,18.29%,7
2026-06-01,23,70,32.86%,5.8
2026-06-02,20,84,23.81%,5.8
2026-06-03,18,96,18.75%,6.2
2026-06-04,31,196,15.82%,7.6
2026-06-05,47,209,22.49%,6.9
2026-06-06,51,322,15.84%,7
2026-06-07,108,552,19.57%,5.2
2026-06-08,128,515,24.85%,3.6
2026-06-09,169,535,31.59%,3.3
2026-06-10,346,1058,32.7%,4
2026-06-11,425,1571,27.05%,4.5
